Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-April-2013,477.90,479.00,467.50,469.45,473.061946426167721093,37145,2015,17571886.00,17652,47.52,11.50,-8.45
25-April-2013,479.10,482.00,474.15,476.75,477.983433734939759036,68392,1962,32690243.00,46832,68.48,7.85,-2.35
23-April-2013,484.00,484.65,473.30,475.00,477.908023804637800123,24365,1363,11644229.00,10990,45.11,11.35,-9.00
22-April-2013,491.50,491.50,481.95,483.30,485.834514510371941441,19331,1051,9391667.00,7498,38.79,9.55,-8.20
18-April-2013,487.30,494.85,486.10,487.15,489.284137063097076826,17481,975,8553176.00,5914,33.83,8.75,-0.15
17-April-2013,495.45,497.00,480.70,484.80,491.172068965517241379,31900,1357,15668389.00,11767,36.89,16.30,-10.65
16-April-2013,490.00,498.00,488.50,495.00,495.174880255455029270,18790,1163,9304336.00,5605,29.83,9.50,5.00
15-April-2013,485.00,494.00,483.85,491.60,490.932182062741354623,23047,1107,11314514.00,5368,23.29,10.15,6.60
12-April-2013,494.10,500.90,479.00,486.85,493.134846215021546542,54069,2089,26663308.00,12151,22.47,21.90,-7.25
11-April-2013,499.20,501.00,492.00,495.20,495.976325122208377264,20866,927,10349042.00,3787,18.15,9.00,-4.00
10-April-2013,488.00,501.00,486.00,498.05,492.293535450163729349,54358,2623,26760092.00,10336,19.01,15.00,10.05
9-April-2013,495.00,519.00,482.05,487.75,500.960130322018276519,699805,7583,350574404.00,529538,75.67,36.95,-7.25
8-April-2013,468.80,500.40,468.80,492.25,489.071429194622089218,229234,6606,112111800.00,29452,12.85,31.60,23.45
5-April-2013,472.00,477.30,463.75,466.65,469.922115942028985507,103500,4679,48636939.00,20521,19.83,13.55,-5.35
4-April-2013,473.00,484.50,465.00,467.00,475.167053696855021358,34881,1511,16574302.00,6627,19.00,19.50,-6.00
3-April-2013,485.90,488.05,473.30,475.20,479.775748283447770148,30002,1344,14394232.00,7093,23.64,14.75,-10.70
2-April-2013,470.00,491.25,465.00,487.00,480.171782862966827634,41209,1434,19787399.00,10259,24.90,26.25,17.00
1-April-2013,469.00,480.60,465.00,467.70,473.803021547098159002,36339,1044,17217528.00,7629,20.99,15.60,-1.30
28-March-2013,471.00,472.00,458.00,462.55,464.175410574599664168,48834,1580,22667542.00,15895,32.55,14.00,-8.45
26-March-2013,471.00,475.95,461.25,471.65,467.426865764698547290,32078,1199,14994119.00,5778,18.01,14.70,0.65
25-March-2013,488.00,492.05,462.50,468.60,477.637281373071697594,58147,2036,27773175.00,16884,29.04,29.55,-19.40
22-March-2013,495.60,496.55,483.30,485.90,489.765797667745283594,16379,503,8021874.00,4637,28.31,13.25,-9.70
21-March-2013,493.15,497.00,487.55,494.35,493.828541281983645476,34119,571,16848936.00,19212,56.31,9.45,1.20
20-March-2013,498.70,499.70,489.00,493.80,493.781647497223117990,27909,956,13780952.00,15056,53.95,10.70,-4.90
19-March-2013,497.00,502.00,488.10,499.55,496.749422045875620993,60991,3029,30297244.00,27838,45.64,13.90,2.55
18-March-2013,484.85,501.55,484.85,499.65,496.410314338020488450,51346,1440,25488684.00,29920,58.27,16.70,14.80
15-March-2013,502.00,502.35,491.00,493.25,496.436948770876337023,21316,536,10582050.00,3141,14.74,11.35,-8.75
14-March-2013,496.00,502.30,494.90,497.50,499.404051810029890401,30110,959,15037056.00,10428,34.63,7.40,1.50
13-March-2013,488.00,497.50,483.30,494.90,491.532497525569119102,36372,1590,17878020.00,9224,25.36,14.20,6.90
12-March-2013,503.25,503.25,485.50,487.45,489.927474636687688511,72940,2458,35735310.00,35321,48.42,17.75,-15.80
11-March-2013,507.95,507.95,499.00,504.35,503.476876865530660822,52934,1085,26651045.00,17462,32.99,8.95,-3.60
8-March-2013,505.10,509.40,500.00,506.80,504.167729655725114368,29947,1010,15098311.00,4696,15.68,9.40,1.70
7-March-2013,503.95,508.00,499.80,505.00,501.304162626824014312,986012,1044,494291920.00,963892,97.76,8.20,1.05
6-March-2013,496.55,506.55,495.45,505.20,500.967552309923347835,38616,1069,19345363.00,6271,16.24,11.10,8.65
5-March-2013,503.95,503.95,484.75,494.45,491.186477565619904265,152088,2281,74703569.00,95262,62.64,19.20,-9.50
4-March-2013,502.95,506.75,493.00,498.60,499.140527362905259618,35687,764,17812828.00,15665,43.90,13.75,-4.35
1-March-2013,503.55,508.40,495.25,499.80,500.450737957085556291,51358,607,25702149.00,39981,77.85,13.15,-3.75
28-February-2013,512.15,512.95,493.20,502.15,502.981479666829985301,20410,853,10265852.00,4586,22.47,19.75,-10.00
27-February-2013,509.95,510.20,501.25,507.50,506.595744680851063829,16497,713,8357310.00,5067,30.71,8.95,-2.45
26-February-2013,508.50,509.00,498.05,508.10,505.672478868747009728,18811,621,9512205.00,8545,45.43,10.95,-0.40
25-February-2013,512.00,512.00,504.25,508.95,508.732860408663477174,84862,887,43172088.00,69712,82.15,7.75,-3.05
22-February-2013,505.95,512.00,503.40,509.00,508.592262984999195975,217655,935,110697649.00,198059,91.00,8.60,3.05
21-February-2013,499.30,504.90,495.50,501.90,500.231569449604585743,18841,888,9424863.00,3477,18.45,9.40,2.60
20-February-2013,511.10,511.10,497.20,500.45,502.775814886064974124,36907,1350,18555947.00,7494,20.31,13.90,-10.65
19-February-2013,502.95,518.90,501.65,510.00,512.470875712327778980,55452,1952,28417535.00,11766,21.22,17.25,7.05
18-February-2013,495.95,503.70,494.30,500.15,499.215175737627835899,17014,588,8493647.00,5056,29.72,9.40,4.20
15-February-2013,500.00,500.00,491.35,496.45,494.715513068731848983,16528,708,8176658.00,4005,24.23,8.65,-3.55
14-February-2013,509.45,510.15,501.20,502.55,506.206653225806451612,23808,1292,12051768.00,7434,31.22,8.95,-6.90
13-February-2013,505.95,509.00,504.60,506.65,507.049509310518369401,31792,672,16120118.00,17334,54.52,4.40,0.70
12-February-2013,489.85,504.65,489.85,502.75,500.771021166273265487,51686,1685,25882851.00,16110,31.17,14.80,12.90
11-February-2013,491.85,492.00,482.65,490.05,488.067159466587422458,26921,913,13139256.00,9172,34.07,9.35,-1.80
8-February-2013,503.50,503.50,487.00,491.20,494.681546461037812599,28271,1005,13985142.00,10865,38.43,16.50,-12.30
7-February-2013,504.20,509.25,494.05,496.55,500.239217119691632883,30094,1071,15054199.00,8806,29.26,15.20,-7.65
6-February-2013,513.05,514.70,499.95,504.20,508.762347842712382894,31382,1397,15965980.00,9369,29.85,14.75,-8.85
5-February-2013,512.00,515.00,509.00,510.95,512.402642709394584915,32391,1052,16597234.00,7719,23.83,6.00,-1.05
4-February-2013,514.90,518.90,507.90,513.55,514.591175872757762081,78716,2763,40506559.00,18601,23.63,11.00,-1.35
1-February-2013,503.00,516.00,503.00,513.60,512.662212433212844210,94891,2863,48647030.00,34936,36.82,13.00,10.60
31-January-2013,500.95,508.60,491.30,501.95,502.782701702926642441,107051,3856,53823391.00,28033,26.19,17.30,1.00
30-January-2013,515.00,529.00,485.05,495.35,500.022083054369658026,460036,16397,230028159.00,126104,27.41,43.95,-19.65
29-January-2013,509.00,519.45,497.05,504.05,509.704027193120680728,133269,4448,67927746.00,29460,22.11,22.40,-4.95
28-January-2013,517.00,534.60,500.55,504.05,514.551381501744974625,131234,4110,67526636.00,40251,30.67,34.05,-12.95
25-January-2013,483.10,514.35,483.10,513.05,501.667663400343469037,148485,4305,74490123.00,63489,42.76,31.25,29.95
24-January-2013,484.00,489.75,471.30,480.65,478.618391263816753229,45054,1670,21563673.00,12882,28.59,18.45,-3.35
23-January-2013,486.90,495.00,481.20,484.90,488.197063291139240506,98750,3523,48209460.00,28810,29.17,13.80,-2.00
22-January-2013,494.25,506.60,482.25,484.80,493.134621402917902329,134206,4473,66181625.00,49113,36.60,24.35,-9.45
21-January-2013,508.00,509.20,491.10,492.70,497.942607062208988629,50041,2242,24917546.00,23793,47.55,18.10,-15.30
18-January-2013,516.95,517.10,501.50,507.15,506.640714666035614979,33806,1539,17127496.00,12991,38.43,15.60,-9.80
17-January-2013,516.50,522.00,508.85,514.45,515.656265727226975339,29805,1390,15369135.00,6227,20.89,13.15,-2.05
16-January-2013,509.95,520.50,509.95,512.55,513.853786822161353744,59509,1950,30578925.00,24800,41.67,10.55,2.60
15-January-2013,507.95,512.20,504.00,509.85,509.234491104411702263,47102,1667,23985963.00,12877,27.34,8.20,1.90
14-January-2013,513.05,519.00,501.00,505.15,511.229580942212731883,59944,3117,30645146.00,25796,43.03,18.00,-7.90
11-January-2013,532.00,533.75,509.20,511.10,519.030758290970709271,66096,2838,34305857.00,30185,45.67,24.55,-20.90
10-January-2013,543.50,548.70,529.00,532.00,535.602347417840375586,38340,1753,20534994.00,11124,29.01,19.70,-11.50
9-January-2013,543.00,550.80,539.50,543.05,545.960270365858450897,101788,3183,55572204.00,29351,28.84,11.30,0.05
8-January-2013,524.00,544.65,524.00,542.45,539.046251104876830252,156126,5066,84159135.00,32659,20.92,20.65,18.45
7-January-2013,530.00,530.25,521.25,522.80,525.219441681892823276,43237,1523,22708913.00,13613,31.48,9.00,-7.20
4-January-2013,539.00,540.00,522.10,524.30,530.356566194903377351,50661,2625,26868394.00,22833,45.07,17.90,-14.70
3-January-2013,532.00,544.70,528.35,537.35,538.421046451322497627,102193,3903,55022862.00,39259,38.42,16.35,5.35
2-January-2013,545.00,548.15,533.15,535.85,540.887135979425094484,63767,2189,34490750.00,22048,34.58,15.00,-9.15
1-January-2013,530.80,546.00,530.60,539.75,539.999216365586076053,72738,2623,39278463.00,12938,17.79,15.40,8.95
31-December-2012,536.00,538.00,526.10,527.80,529.868283519183063991,41521,1697,22000661.00,12371,29.79,11.90,-8.20
28-December-2012,537.00,541.60,532.00,534.95,535.611900503444621091,60384,2041,32342389.00,13023,21.57,9.60,-2.05
27-December-2012,536.05,550.50,530.80,533.90,539.972267426508066150,162841,5921,87929624.00,33228,20.41,19.70,-2.15
26-December-2012,524.30,546.60,523.10,540.85,536.597661982975356381,313428,11144,168184732.00,59777,19.07,23.50,16.55
24-December-2012,504.30,527.15,504.00,519.70,517.946853201129296712,309219,9592,160159008.00,78559,25.41,23.15,15.40
21-December-2012,487.00,504.60,482.45,499.20,495.017830467835700897,105101,4660,52026869.00,35219,33.51,22.15,12.20
20-December-2012,483.30,496.70,482.95,487.20,490.484014384590753466,81198,3966,39826321.00,23995,29.55,13.75,3.90
19-December-2012,489.00,494.00,478.00,480.55,484.672274933804060017,36256,1698,17572278.00,14419,39.77,16.00,-8.45
18-December-2012,493.40,498.85,484.10,486.60,487.876922742961338919,691005,2457,337125393.00,13121,1.90,14.75,-6.80
17-December-2012,479.00,495.50,471.85,491.15,486.985552443991853360,125696,5672,61212136.00,36280,28.86,23.65,12.15
14-December-2012,468.10,494.80,468.10,476.50,480.360058149261308243,173347,8143,83268975.00,45755,26.40,26.70,8.40
13-December-2012,452.00,472.15,450.00,466.80,464.416741588984053376,147931,5673,68701633.00,37476,25.33,22.15,14.80
12-December-2012,446.00,450.00,443.30,449.30,447.742798468113448409,18017,1103,8066982.00,6023,33.43,6.70,3.30
11-December-2012,452.00,455.00,441.00,443.20,444.469745288879685235,24145,1093,10731722.00,6443,26.68,14.00,-8.80
10-December-2012,447.00,454.60,444.00,450.30,451.003349500837375209,45977,1476,20735781.00,18787,40.86,10.60,3.30
7-December-2012,435.75,448.00,430.05,447.00,442.523324143536570631,91043,3296,40288651.00,24462,26.87,17.95,11.25
6-December-2012,428.15,435.00,426.60,430.85,430.834972868895501487,28565,1256,12306801.00,6771,23.70,8.40,2.70
5-December-2012,442.00,442.00,423.00,424.95,429.510907771342374521,70271,2423,30182161.00,34480,49.07,19.00,-17.05
4-December-2012,440.00,447.00,436.30,437.85,440.441100298226338094,25484,916,11224201.00,6501,25.51,10.70,-2.15
3-December-2012,436.60,444.00,436.60,441.75,441.130047408860552558,24468,925,10793570.00,8769,35.84,7.40,5.15
30-November-2012,444.00,453.60,433.00,436.00,442.538531945148162071,61183,2245,27075835.00,29869,48.82,20.60,-8.00
29-November-2012,439.75,446.70,431.25,443.00,437.989707276491187339,51687,1593,22638374.00,15853,30.67,15.45,3.25
27-November-2012,447.50,452.00,418.60,436.70,441.036891164500459498,30468,1177,13437512.00,14947,49.06,33.40,-10.80
26-November-2012,444.80,449.70,439.00,447.70,445.227847656524488792,28462,1178,12672075.00,6341,22.28,10.70,2.90
23-November-2012,445.45,453.10,435.00,442.80,445.304189956427974120,45442,1882,20235513.00,7664,16.87,18.10,-2.65
22-November-2012,432.70,456.35,431.95,445.45,447.401529070628085788,114841,4270,51380039.00,29911,26.05,24.40,12.75
21-November-2012,431.40,433.50,429.55,431.25,431.325796234383248284,11366,454,4902449.00,4547,40.01,3.95,-0.15
20-November-2012,427.95,431.95,426.20,429.45,429.208053172579024654,12939,567,5553523.00,3996,30.88,5.75,1.50
19-November-2012,433.20,435.20,417.90,423.90,422.574464449712735738,46821,1530,19785359.00,18408,39.32,17.30,-9.30
16-November-2012,445.00,445.00,431.00,432.75,438.638115718575022315,24646,884,10810675.00,7809,31.68,14.00,-12.25
15-November-2012,435.00,443.20,430.00,440.10,439.385177432413752246,50639,1635,22250026.00,12818,25.31,13.20,5.10
13-November-2012,432.80,434.50,427.55,432.80,431.619289340101522842,8077,302,3486189.00,4074,50.44,6.95,0.00
12-November-2012,425.20,433.95,425.20,428.30,429.525751828242931445,25571,1060,10983403.00,5940,23.23,8.75,3.10
9-November-2012,430.05,433.40,422.85,425.20,430.847604454506586781,348501,722,150150821.00,337600,96.87,10.55,-4.85
8-November-2012,430.00,435.30,425.00,430.05,431.289971777986829727,26575,1020,11461531.00,9627,36.23,10.30,0.05
7-November-2012,433.55,437.40,430.00,430.95,433.122798887859128822,36686,1124,15889543.00,10746,29.29,7.40,-2.60
6-November-2012,440.00,444.80,428.00,431.00,438.048106785697076950,913156,3505,400006257.00,836491,91.60,16.80,-9.00
5-November-2012,431.40,439.75,430.00,437.35,435.648818629950705422,64713,2410,28192142.00,22919,35.42,9.75,5.95
2-November-2012,433.85,433.85,425.00,428.75,428.745649365453301922,39477,1417,16925592.00,13171,33.36,8.85,-5.10
1-November-2012,427.00,433.90,423.95,427.60,429.667624469914652253,93617,2937,40224194.00,25452,27.19,9.95,0.60
31-October-2012,410.00,432.85,403.20,426.90,423.396255500544647316,508586,14374,215333408.00,58991,11.60,29.65,16.90
30-October-2012,399.90,404.90,393.45,395.50,399.049679891690952064,43579,1732,17390186.00,15780,36.21,11.45,-4.40
29-October-2012,396.00,401.40,393.25,395.20,397.382319645981269939,9717,451,3861364.00,5485,56.45,8.15,-0.80
26-October-2012,401.90,404.00,395.00,398.05,399.585688315980829614,12102,476,4835786.00,4701,38.84,9.00,-3.85
25-October-2012,397.15,404.00,397.00,402.45,399.061255487968059483,414771,609,165519036.00,405134,97.68,7.00,5.30
23-October-2012,396.00,404.55,394.25,395.50,400.409338220013979936,317598,736,127169205.00,308958,97.28,10.30,-0.50
22-October-2012,401.10,406.25,399.05,402.10,402.181103050432654488,22882,1188,9202708.00,9220,40.29,7.20,1.00
19-October-2012,402.60,406.00,399.00,400.20,402.204123135816253289,25078,1236,10086475.00,11114,44.32,7.00,-2.40
18-October-2012,400.25,403.95,396.30,400.30,400.500445469315025417,19081,947,7641949.00,6448,33.79,7.65,0.05
17-October-2012,395.20,403.90,395.20,399.90,401.334365804553198079,12914,637,5182832.00,4684,36.27,8.70,4.70
16-October-2012,411.00,414.35,395.00,397.40,402.250785470491173345,88482,3440,35591954.00,45551,51.48,19.35,-13.60
15-October-2012,421.15,421.40,409.25,411.30,415.766529474243228890,15064,776,6263107.00,5981,39.70,12.15,-9.85
12-October-2012,418.65,422.05,418.00,420.80,420.477575694946781027,19354,896,8137923.00,10654,55.05,4.05,2.15
11-October-2012,412.40,423.00,412.40,418.65,419.889397121542049451,77611,1583,32588036.00,55617,71.66,10.60,6.25
10-October-2012,415.15,425.75,415.15,418.10,420.827629184634942792,40117,1422,16882342.00,11521,28.72,10.60,2.95
9-October-2012,407.10,423.10,407.10,418.20,417.947270096039994737,76010,2203,31768172.00,23810,31.32,16.00,11.10
8-October-2012,402.50,411.95,400.05,406.10,406.722561469873007295,37010,1332,15052802.00,13276,35.87,11.90,3.60
5-October-2012,411.00,411.00,386.50,401.05,398.443204868154158215,62118,2328,24750495.00,20130,32.41,24.50,-9.95
4-October-2012,419.00,419.90,406.25,406.85,409.599715579900979669,94930,2130,38883301.00,53880,56.76,13.65,-12.15
3-October-2012,419.00,421.85,417.00,418.25,419.256668055844967701,19196,704,8048051.00,7306,38.06,4.85,-0.75
1-October-2012,422.00,425.70,414.50,418.30,420.415043247364408339,38037,2345,15991327.00,15511,40.78,11.20,-3.70
28-September-2012,424.00,427.95,418.95,421.90,423.749096106953670226,35679,978,15118944.00,13069,36.63,9.00,-2.10
27-September-2012,420.20,424.85,416.50,420.25,421.401336932767707931,15558,681,6556162.00,5518,35.47,8.35,0.05
26-September-2012,416.00,422.40,409.20,419.15,418.904733677703446523,23618,730,9893692.00,8374,35.46,13.20,3.15
25-September-2012,426.00,426.00,412.05,416.30,415.971054793654806294,31646,1570,13163820.00,9669,30.55,13.95,-9.70
24-September-2012,418.35,425.50,418.05,424.10,423.413412110287736163,29958,955,12684619.00,10600,35.38,7.45,5.75
21-September-2012,415.15,421.75,414.60,419.75,418.476670233600516868,49529,1429,20726731.00,16133,32.57,7.15,4.60
20-September-2012,412.00,419.00,411.65,418.15,416.278871912626218022,33969,1203,14140577.00,11410,33.59,7.35,6.15
18-September-2012,406.40,413.25,406.40,412.05,410.479646643109540636,28300,1024,11616574.00,8831,31.20,6.85,5.65
17-September-2012,418.70,420.70,399.00,407.40,405.981876545179041390,150468,3563,61087281.00,87856,58.39,21.70,-11.30
14-September-2012,440.00,440.00,415.10,415.95,421.913050542418637204,80012,3950,33758107.00,33837,42.29,24.90,-24.05
13-September-2012,432.50,437.15,429.80,434.45,434.725196827518084890,34421,1821,14963676.00,10603,30.80,7.35,1.95
12-September-2012,435.80,435.80,429.00,431.20,430.984192681960283563,22711,1446,9788082.00,7129,31.39,6.80,-4.60
11-September-2012,429.85,435.65,426.00,431.75,431.929033318719859710,36496,2602,15763682.00,11307,30.98,9.65,1.90
10-September-2012,430.00,434.00,422.45,429.70,428.180943972511215042,41908,2551,17944207.00,14069,33.57,11.55,-0.30
8-September-2012,426.85,429.25,425.10,426.75,427.160937500000000000,3840,96,1640298.00,1361,35.44,4.15,-0.10
7-September-2012,427.05,431.35,422.00,426.35,426.829070896730333441,40157,2374,17140175.00,10655,26.53,9.35,-0.70
6-September-2012,421.95,426.60,415.75,423.25,422.032063600705504514,37987,2539,16031732.00,9806,25.81,10.85,1.30
5-September-2012,435.00,435.00,417.50,419.75,424.161378231072257298,37062,2218,15720269.00,16715,45.10,17.50,-15.25
4-September-2012,429.55,436.60,427.75,430.45,432.369534401919092792,27513,1772,11895783.00,8692,31.59,8.85,0.90
3-September-2012,446.00,446.00,425.10,427.70,432.599398883641047659,58225,3580,25188100.00,16046,27.56,20.90,-18.30
31-August-2012,435.00,449.75,434.00,441.75,441.732806924620874219,143488,5683,63383357.00,50964,35.52,15.75,6.75
30-August-2012,421.00,435.75,413.05,433.30,431.247032488193055989,150547,4510,64922947.00,51117,33.95,22.70,12.30
29-August-2012,414.00,424.60,412.35,417.60,420.286458147261619806,111964,4256,47056953.00,30272,27.04,12.25,3.60
28-August-2012,412.40,414.95,408.35,412.25,410.871568678324944216,38542,1847,15835812.00,14960,38.81,6.60,-0.15
27-August-2012,411.85,414.95,407.00,411.15,412.639708313077297034,51425,1943,21219997.00,29372,57.12,7.95,-0.70
24-August-2012,416.00,418.20,406.05,408.85,411.926355632354151238,48612,1559,20024564.00,17246,35.48,12.15,-7.15
23-August-2012,414.05,418.50,410.10,412.15,413.996716095212841903,49027,1946,20297017.00,17030,34.74,8.40,-1.90
22-August-2012,408.05,410.00,404.50,405.20,407.019839011301731848,12299,555,5005937.00,5405,43.95,5.50,-2.85
21-August-2012,416.45,417.00,405.65,407.85,410.790654952076677316,12520,588,5143099.00,4359,34.82,11.35,-8.60
17-August-2012,412.50,419.95,409.40,415.55,414.887658642651163507,64847,2303,26904220.00,47903,73.87,10.55,3.05
16-August-2012,418.00,418.80,410.65,412.90,414.328316086547507055,17008,776,7046896.00,9512,55.93,8.15,-5.10
14-August-2012,419.95,420.00,412.10,413.95,414.505085710221210612,14059,472,5827527.00,9817,69.83,7.90,-6.00
13-August-2012,412.00,417.40,408.00,415.05,414.332312496246922476,16653,924,6899876.00,7565,45.43,9.40,3.05
10-August-2012,416.00,418.90,404.60,410.60,411.651734104046242774,25604,992,10539931.00,9172,35.82,14.30,-5.40
9-August-2012,415.80,422.90,413.00,416.00,418.849174825174825174,53625,2927,22460787.00,32453,60.52,9.90,0.20
8-August-2012,416.00,423.30,413.15,415.80,418.731605219715431176,50884,1790,21306739.00,16659,32.74,10.15,-0.20
7-August-2012,409.30,417.00,406.15,415.80,414.155313102608342636,98530,2776,40806723.00,60064,60.96,10.85,6.50
6-August-2012,361.15,426.85,361.15,407.50,417.534267888934800463,196029,7136,81848825.00,88177,44.98,65.70,46.35
3-August-2012,385.00,413.00,381.50,408.70,401.938278973613243840,368594,9544,148152038.00,136542,37.04,31.50,23.70
2-August-2012,385.00,393.00,383.15,387.60,388.371121326547364964,73092,4238,28386822.00,18048,24.69,9.85,2.60
1-August-2012,385.95,389.05,381.10,386.20,385.978487707261292166,27984,1290,10801222.00,10592,37.85,7.95,0.25
31-July-2012,385.00,389.05,382.75,384.75,385.945636993741271401,19333,862,7461487.00,8264,42.75,6.30,-0.25
30-July-2012,377.10,387.25,374.85,383.50,384.421933085501858736,17216,849,6618208.00,6398,37.16,12.40,6.40
27-July-2012,379.05,381.20,372.00,380.05,378.780107915670022806,17977,879,6809330.00,7509,41.77,9.20,1.00
26-July-2012,382.80,384.00,361.00,376.95,374.669078258119354009,50589,1034,18954134.00,25151,49.72,23.00,-5.85
25-July-2012,386.10,386.10,377.55,381.25,380.511122579243284352,36817,1062,14009278.00,17511,47.56,8.55,-4.85
24-July-2012,382.00,388.40,382.00,387.05,386.692582794434646286,20412,509,7893169.00,11133,54.54,6.40,5.05
23-July-2012,383.00,383.95,377.85,380.70,380.808570566341414344,19882,877,7571236.00,9540,47.98,6.10,-2.30
20-July-2012,382.60,384.00,380.20,383.00,382.855426417465054185,12734,434,4875281.00,5835,45.82,3.80,0.40
19-July-2012,382.55,385.00,379.00,381.75,381.944631801479840942,19867,872,7588094.00,7605,38.28,6.00,-0.80
18-July-2012,388.00,388.50,378.10,380.60,382.052673372154579142,26446,857,10103765.00,9910,37.47,10.40,-7.40
17-July-2012,381.25,389.80,380.60,388.15,386.422194461794711638,48030,1746,18559858.00,14496,30.18,9.20,6.90
16-July-2012,382.00,392.45,379.15,381.00,385.550520059435364041,56532,1900,21795942.00,7602,13.45,13.30,-1.00
13-July-2012,390.00,390.90,380.05,381.45,385.262467853360899601,39662,2354,15280280.00,21095,53.19,10.85,-8.55
12-July-2012,395.00,395.00,385.10,388.80,388.611330950928266364,57365,1450,22292689.00,23669,41.26,9.90,-6.20
11-July-2012,394.00,406.40,393.05,395.00,401.335936549643578327,164412,6007,65984444.00,46466,28.26,13.35,1.00
10-July-2012,385.00,396.95,384.90,393.50,392.225659684393008133,145941,4372,57241805.00,64339,44.09,12.05,8.50
9-July-2012,379.00,385.80,377.00,382.75,382.232106129164952694,58344,1014,22300950.00,38652,66.25,8.80,3.75
6-July-2012,377.45,378.30,372.00,377.00,375.664386868361763759,24856,794,9337514.00,9021,36.29,6.30,-0.45
5-July-2012,377.90,381.00,373.55,374.80,376.340252922930088284,25146,1285,9463452.00,10600,42.15,7.45,-3.10
4-July-2012,382.95,387.10,377.40,379.10,384.064866982827341142,74013,2588,28425793.00,28372,38.33,9.70,-3.85
3-July-2012,374.00,383.60,370.60,381.20,379.755063282365498981,72137,2621,27394391.00,32200,44.64,13.00,7.20
2-July-2012,365.40,374.00,361.00,372.30,370.448104174645729605,26110,767,9672400.00,11640,44.58,13.00,6.90
29-June-2012,365.00,365.55,360.00,362.55,362.862183895884033435,18902,565,6858821.00,9589,50.73,5.55,-2.45
28-June-2012,366.50,366.50,360.10,361.70,363.370976670620798734,12645,548,4594826.00,4943,39.09,6.40,-4.80
27-June-2012,367.50,371.20,363.25,366.45,368.654479890503263845,37992,1714,14005921.00,16045,42.23,7.95,-1.05
26-June-2012,355.90,367.45,354.75,365.50,363.140073265606707201,26479,986,9615586.00,8670,32.74,12.70,9.60
25-June-2012,362.90,364.20,352.65,354.85,357.536464622071963293,24846,1017,8883351.00,14615,58.82,11.55,-8.05
22-June-2012,360.85,368.00,357.00,359.00,362.595881505429244122,28457,1071,10318391.00,7962,27.98,11.00,-1.85
21-June-2012,366.95,376.70,357.05,362.40,367.913323817492740069,40634,1853,14949790.00,10893,26.81,19.65,-4.55
20-June-2012,374.00,374.00,364.25,367.75,368.781379668049792531,23136,730,8532126.00,10312,44.57,9.75,-6.25
19-June-2012,368.45,375.00,364.05,373.40,371.399330730619074177,34067,922,12652461.00,16816,49.36,10.95,4.95
18-June-2012,367.10,369.05,362.10,366.40,366.243515410436374732,16385,657,6000900.00,5981,36.50,6.95,-0.70
15-June-2012,363.00,368.50,362.25,365.10,366.430820215410107705,8449,394,3095974.00,3015,35.68,6.25,2.10
14-June-2012,362.85,366.00,360.10,364.35,364.084486311451280541,16985,524,6183975.00,6523,38.40,5.90,1.50
13-June-2012,360.00,364.85,358.05,361.95,361.379242921945878304,12786,527,4620595.00,4546,35.55,6.80,1.95
12-June-2012,360.40,367.35,357.00,358.45,362.426615269547206719,17381,555,6299337.00,4045,23.27,10.35,-1.95
11-June-2012,371.10,371.10,360.30,361.85,364.682017362546506821,24190,836,8821658.00,6656,27.52,10.80,-9.25
8-June-2012,375.15,375.15,363.15,366.95,368.703012641774460680,47699,1320,17586765.00,10118,21.21,12.00,-8.20
7-June-2012,360.00,377.00,359.30,375.15,371.925479617487414758,152361,5627,56666938.00,48442,31.79,17.70,15.15
6-June-2012,359.50,364.00,355.00,359.30,360.450516387845681119,46864,2971,16892153.00,23363,49.85,9.00,-0.20
5-June-2012,357.85,360.70,353.10,356.10,357.619262486385560914,38562,1074,13790514.00,15172,39.34,7.60,-1.75
4-June-2012,347.00,357.95,342.50,356.25,351.948014629049111807,22968,1018,8083542.00,8337,36.30,15.45,9.25
1-June-2012,355.10,355.95,344.20,348.10,348.220653875815007828,42791,1407,14900710.00,20809,48.63,11.75,-7.00
31-May-2012,358.00,358.00,352.00,356.70,355.126403934339070911,15047,611,5343587.00,2161,14.36,6.00,-1.30
30-May-2012,358.00,361.00,352.10,358.50,358.656321595656610384,51941,1402,18628968.00,15438,29.72,8.90,0.50
29-May-2012,354.80,360.60,350.00,357.95,356.923869140530711423,62143,986,22180320.00,38126,61.35,10.60,3.15
28-May-2012,353.50,358.00,348.50,352.55,353.734851316907391673,29425,1043,10408648.00,3966,13.48,9.50,-0.95
25-May-2012,356.70,358.00,348.25,352.20,354.673434012442418198,42114,855,14936717.00,15623,37.10,9.75,-4.50
24-May-2012,356.00,360.85,351.05,356.30,357.050556762795722686,81453,1232,29082839.00,31024,38.09,9.80,0.30
23-May-2012,345.00,359.40,345.00,355.95,356.427377916984843974,309052,3061,110154594.00,255729,82.75,14.40,10.95
22-May-2012,346.20,358.05,346.00,357.00,353.980729460424891896,85104,4293,30125176.00,19999,23.50,12.05,10.80
21-May-2012,336.60,342.70,332.45,341.40,338.920050650970781830,585971,4239,198597321.00,543562,92.76,10.25,4.80
